--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 122] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11750 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290498ms
[Conn 123] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290337ms
[Conn 124] sent: 1.2 GB, received: 1.2 GB, requests: 11865, responses: 11763 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289436ms
[Conn 125] sent: 1.2 GB, received: 1.2 GB, requests: 11865, responses: 11763 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288282ms
[Conn 126] sent: 1.2 GB, received: 1.2 GB, requests: 11831, responses: 11756 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290383ms
[Conn 127] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289089ms
[Conn 128] sent: 1.2 GB, received: 1.2 GB, requests: 11859, responses: 11757 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290836ms
[Conn 129] sent: 1.2 GB, received: 1.2 GB, requests: 11833, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287604ms
[Conn 130] sent: 1.2 GB, received: 1.2 GB, requests: 11858, responses: 11756 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287379ms
[Conn 131] sent: 1.2 GB, received: 1.2 GB, requests: 11859, responses: 11757 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287899ms
[Conn 132] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290511ms
[Conn 133] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11750 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289564ms
[Conn 134] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11755 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287519ms
[Conn 135] sent: 1.2 GB, received: 1.2 GB, requests: 11857, responses: 11755 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288997ms
[Conn 136] sent: 1.2 GB, received: 1.2 GB, requests: 11855, responses: 11753 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289031ms
[Conn 137] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288773ms
[Conn 138] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289481ms
[Conn 139] sent: 1.2 GB, received: 1.2 GB, requests: 11862, responses: 11760 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.28872ms
